"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,1.44315676051006,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,-1.27389524503511,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,-1.16561281531109,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,1.95524253505002,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,-0.79374954570707,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,6.74970366568363,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,0.840748276034348,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,-4.2599297822044,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,-11.2833380411786,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,0.0584926399218158,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,-0.733934144996417,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,-5.95265032892088,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,-3.0976688356228,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,0.144475864375244,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,5.1021589533715,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,1.55485214639129,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,3.77399918600642,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,-0.257191162622714,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,-1.14659965289813,,
"XTEXVA01","Exports in goods, s.a.","CAN","Canada","GP","Growth previous period","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,4.17323859618914,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,-1.01740932268769,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,-1.79460627512698,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,11.2514384973457,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,7.8284366777321,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,6.21872671437553,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,7.05794035909848,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,0.286476624195995,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,-4.94785712782277,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,2.2395113704137,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2012-Q2","Q2-2012","PC","Percentage","0","Units",,,-4.3564550034509,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2012-Q3","Q3-2012","PC","Percentage","0","Units",,,-0.0303065133357058,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2012-Q4","Q4-2012","PC","Percentage","0","Units",,,-0.220859206410127,,
"XTEXVA01","Exports in goods, s.a.","CZE","Czech Republic","GP","Growth previous period","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,0.508745069676614,,
